Count_bfp_objects,Count_gfp_objects,FileName_bfp,FileName_gfp,ImageNumber
10280.0,37.0,"B6_-1_3_1_Stitched[DAPI 377,447]_007.tif","B6_-1_2_1_Stitched[GFP 469,525]_007.tif",85
10645.0,35.0,"B6_-1_3_1_Stitched[DAPI 377,447]_008.tif","B6_-1_2_1_Stitched[GFP 469,525]_008.tif",86
10485.0,46.0,"B6_-1_3_1_Stitched[DAPI 377,447]_009.tif","B6_-1_2_1_Stitched[GFP 469,525]_009.tif",87
10617.0,42.0,"B6_-1_3_1_Stitched[DAPI 377,447]_010.tif","B6_-1_2_1_Stitched[GFP 469,525]_010.tif",88
10639.0,48.0,"B6_-1_3_1_Stitched[DAPI 377,447]_011.tif","B6_-1_2_1_Stitched[GFP 469,525]_011.tif",89
10843.0,51.0,"B6_-1_3_1_Stitched[DAPI 377,447]_012.tif","B6_-1_2_1_Stitched[GFP 469,525]_012.tif",90
10871.0,64.0,"B6_-1_3_1_Stitched[DAPI 377,447]_013.tif","B6_-1_2_1_Stitched[GFP 469,525]_013.tif",91
5771.0,19.0,"B7_-1_3_1_Stitched[DAPI 377,447]_001.tif","B7_-1_2_1_Stitched[GFP 469,525]_001.tif",92
5827.0,25.0,"B7_-1_3_1_Stitched[DAPI 377,447]_002.tif","B7_-1_2_1_Stitched[GFP 469,525]_002.tif",93
6336.0,36.0,"B7_-1_3_1_Stitched[DAPI 377,447]_003.tif","B7_-1_2_1_Stitched[GFP 469,525]_003.tif",94
6451.0,31.0,"B7_-1_3_1_Stitched[DAPI 377,447]_004.tif","B7_-1_2_1_Stitched[GFP 469,525]_004.tif",95
6880.0,38.0,"B7_-1_3_1_Stitched[DAPI 377,447]_005.tif","B7_-1_2_1_Stitched[GFP 469,525]_005.tif",96
6907.0,33.0,"B7_-1_3_1_Stitched[DAPI 377,447]_006.tif","B7_-1_2_1_Stitched[GFP 469,525]_006.tif",97
7134.0,36.0,"B7_-1_3_1_Stitched[DAPI 377,447]_007.tif","B7_-1_2_1_Stitched[GFP 469,525]_007.tif",98
7071.0,52.0,"B7_-1_3_1_Stitched[DAPI 377,447]_008.tif","B7_-1_2_1_Stitched[GFP 469,525]_008.tif",99
7346.0,56.0,"B7_-1_3_1_Stitched[DAPI 377,447]_009.tif","B7_-1_2_1_Stitched[GFP 469,525]_009.tif",100
7655.0,53.0,"B7_-1_3_1_Stitched[DAPI 377,447]_010.tif","B7_-1_2_1_Stitched[GFP 469,525]_010.tif",101
7859.0,62.0,"B7_-1_3_1_Stitched[DAPI 377,447]_011.tif","B7_-1_2_1_Stitched[GFP 469,525]_011.tif",102
7774.0,55.0,"B7_-1_3_1_Stitched[DAPI 377,447]_012.tif","B7_-1_2_1_Stitched[GFP 469,525]_012.tif",103
7926.0,60.0,"B7_-1_3_1_Stitched[DAPI 377,447]_013.tif","B7_-1_2_1_Stitched[GFP 469,525]_013.tif",104
4574.0,23.0,"B8_-1_3_1_Stitched[DAPI 377,447]_001.tif","B8_-1_2_1_Stitched[GFP 469,525]_001.tif",105
4749.0,24.0,"B8_-1_3_1_Stitched[DAPI 377,447]_002.tif","B8_-1_2_1_Stitched[GFP 469,525]_002.tif",106
5102.0,24.0,"B8_-1_3_1_Stitched[DAPI 377,447]_003.tif","B8_-1_2_1_Stitched[GFP 469,525]_003.tif",107
5140.0,29.0,"B8_-1_3_1_Stitched[DAPI 377,447]_004.tif","B8_-1_2_1_Stitched[GFP 469,525]_004.tif",108
5382.0,27.0,"B8_-1_3_1_Stitched[DAPI 377,447]_005.tif","B8_-1_2_1_Stitched[GFP 469,525]_005.tif",109
5582.0,26.0,"B8_-1_3_1_Stitched[DAPI 377,447]_006.tif","B8_-1_2_1_Stitched[GFP 469,525]_006.tif",110
5639.0,39.0,"B8_-1_3_1_Stitched[DAPI 377,447]_007.tif","B8_-1_2_1_Stitched[GFP 469,525]_007.tif",111
5830.0,37.0,"B8_-1_3_1_Stitched[DAPI 377,447]_008.tif","B8_-1_2_1_Stitched[GFP 469,525]_008.tif",112
6116.0,50.0,"B8_-1_3_1_Stitched[DAPI 377,447]_009.tif","B8_-1_2_1_Stitched[GFP 469,525]_009.tif",113
6278.0,64.0,"B8_-1_3_1_Stitched[DAPI 377,447]_010.tif","B8_-1_2_1_Stitched[GFP 469,525]_010.tif",114
6203.0,57.0,"B8_-1_3_1_Stitched[DAPI 377,447]_011.tif","B8_-1_2_1_Stitched[GFP 469,525]_011.tif",115
6292.0,58.0,"B8_-1_3_1_Stitched[DAPI 377,447]_012.tif","B8_-1_2_1_Stitched[GFP 469,525]_012.tif",116
6404.0,82.0,"B8_-1_3_1_Stitched[DAPI 377,447]_013.tif","B8_-1_2_1_Stitched[GFP 469,525]_013.tif",117
5048.0,13.0,"B9_-1_3_1_Stitched[DAPI 377,447]_001.tif","B9_-1_2_1_Stitched[GFP 469,525]_001.tif",118
5388.0,22.0,"B9_-1_3_1_Stitched[DAPI 377,447]_002.tif","B9_-1_2_1_Stitched[GFP 469,525]_002.tif",119
5494.0,33.0,"B9_-1_3_1_Stitched[DAPI 377,447]_003.tif","B9_-1_2_1_Stitched[GFP 469,525]_003.tif",120
5648.0,22.0,"B9_-1_3_1_Stitched[DAPI 377,447]_004.tif","B9_-1_2_1_Stitched[GFP 469,525]_004.tif",121
5972.0,34.0,"B9_-1_3_1_Stitched[DAPI 377,447]_005.tif","B9_-1_2_1_Stitched[GFP 469,525]_005.tif",122
6300.0,36.0,"B9_-1_3_1_Stitched[DAPI 377,447]_006.tif","B9_-1_2_1_Stitched[GFP 469,525]_006.tif",123
6567.0,31.0,"B9_-1_3_1_Stitched[DAPI 377,447]_007.tif","B9_-1_2_1_Stitched[GFP 469,525]_007.tif",124
6569.0,38.0,"B9_-1_3_1_Stitched[DAPI 377,447]_008.tif","B9_-1_2_1_Stitched[GFP 469,525]_008.tif",125
6757.0,38.0,"B9_-1_3_1_Stitched[DAPI 377,447]_009.tif","B9_-1_2_1_Stitched[GFP 469,525]_009.tif",126
6759.0,42.0,"B9_-1_3_1_Stitched[DAPI 377,447]_010.tif","B9_-1_2_1_Stitched[GFP 469,525]_010.tif",127
7055.0,48.0,"B9_-1_3_1_Stitched[DAPI 377,447]_011.tif","B9_-1_2_1_Stitched[GFP 469,525]_011.tif",128
7161.0,52.0,"B9_-1_3_1_Stitched[DAPI 377,447]_012.tif","B9_-1_2_1_Stitched[GFP 469,525]_012.tif",129
7457.0,56.0,"B9_-1_3_1_Stitched[DAPI 377,447]_013.tif","B9_-1_2_1_Stitched[GFP 469,525]_013.tif",130
